"Finished","ID","BioAssassin_1_1","BioAssassin_2_1","BioAssassin_3_1","BiowarNumCountry_1_1","BiowarNumCountry_2_1","BiowarNumCountry_3_1","QuALITY_1_1","QuALITY_2_1","QuALITY_3_1","FutureWorries","NonStateBio100k_1_1","NonStateBio100k_2_1","NonStateBio100k_3_1","GenAttitudes","GPT","ComputeCost_1_1","ComputeCost_2_1","ComputeCost_3_1","ComputeCostgraphic_1_1","ComputeCostgraphic_2_1","ComputeCostgraphic_3_1","HumanExtReasonsSum_1_1","HumanExtReasonsSum_2_1","HumanExtReasonsSum_3_1","HumanExtReasonsSum_4_1","HumanExtReasonsSum_5_1","HumanExtReasonsSum_6_1","HumanExtReasonsSum_7_1","HumanExtReasons_corr_1_1","HumanExtReasons_corr_2_1","HumanExtReasons_corr_3_1","HumanExtReasons_corr_4_1","HumanExtReasons_corr_5_1","HumanExtReasons_corr_6_1","HumanExtReasons_corr_7_1","HumanExtReasonsSum_7_TEXT","HumanExtReasons_corr_7_TEXT","HumanExtReasonsSum"
"True","P2Vdn8kSpy6",0.1,0.3,0.4,6,9,15,50,70,88,2100,NA,NA,NA,2060,1,NA,NA,NA,6e+07,1.2e+07,1.5e+07,20,20,20,30,0,10,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P6YGuuP1Tjg",0,1,1,5,5,5,40,64,88,2150,0,0,1,2080,NA,5e+23,7e+23,9e+23,NA,NA,NA,25,25,2,4,0,10,0,40,40,4,5,1,10,0,"","","66"
"True","PrdpMLM1Kox",5,15,40,18,22,30,NA,NA,NA,2150,3,7,15,2180,30,2e+10,3e+10,5e+10,NA,NA,NA,5,2,20,10,2,1,0,15,5,40,35,3,2,0,"","","40"
"True","P2XK7zzVNHd",0,0,1,0,0,1,NA,NA,NA,2200,0,1,2,2050,1.5,NA,NA,NA,5e+05,750000,1.1e+07,40,0,1,5,0,54,0,NA,NA,NA,NA,NA,NA,NA,"bombs","","100"
"True","PnnTGRaRIsx",NA,NA,NA,5,10,15,10,20,30,2200,0,5,10,2050,40,NA,NA,NA,1e+07,1.5e+07,2e+07,15,15,10,20,5,10,25,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P6P9kDrd7Z4",0,0.2,0.3,3,5,7,60,70,88,2050,NA,NA,NA,2050,1,NA,NA,NA,5e+07,7e+07,1e+08,20,20,20,30,2,3,5,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Pac3iLqteOA",0,2,15,15,40,85,30,80,95,2045,NA,NA,NA,2040,55,1.5e+07,5e+07,1.5e+08,NA,NA,NA,25,5,10,30,1,10,19,NA,NA,NA,NA,NA,NA,NA,"Complete climate breakdown","","100"
"True","PVpsBfQGDx0",NA,NA,NA,39,56,67,32,45,65,47,0,0,0,59,50,NA,NA,NA,60,80,94,20,20,20,20,20,20,0,20,20,20,20,20,0,0,"","","120"
"True","P77wpEGVPzD",0,1,2,10,12,15,45,65,85,2028,0,1,3,2100,NA,NA,NA,NA,7e+07,1e+08,5e+08,0.001,1e-05,0.001,0.01,1e-05,1e-05,0,20,10,20,40,5,5,0,"","","0.01203"
"True","PYPfxFnbSrv",NA,NA,NA,12,14,14,72,79,86,2076,0,0,0,2132,48,1.5e+07,1e+08,3e+08,NA,NA,NA,20,45,5,15,5,10,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PWgpknKoS8L",0,0,0,NA,NA,NA,28,56,75,2050,0,0,0,2050,1,NA,NA,NA,55,100,150,1e-12,1e-10,1e-15,1e-09,0,1e-14,0,5,50,2,3,0,40,0,NA,NA,"1.101011e-9"
"True","P5KxuczwJ2W",0,1,2,7,11,20,NA,NA,NA,45,1,3,5,2115,50,5e+09,9e+10,3e+11,NA,NA,NA,25,5,25,30,2,3,10,NA,NA,NA,NA,NA,NA,NA,"unforeseen","","100"
"True","PcKcSuYZSFL",NA,NA,NA,1,2,2,48,68,88,2050,0,1,3,1e+210,75,NA,NA,NA,5.5e+07,1e+08,1e+09,20,5,15,40,5,5,10,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PiiUvn24MT1",0,0,0,6,6,8,72,82,90,2080,NA,NA,NA,2300,65,NA,NA,NA,5e+07,1.2e+08,1.8e+08,2,1,0,2,0,55,40,NA,NA,NA,NA,NA,NA,NA,"Global warming","","100"
"True","PqDqwJ845jn",0,2,5,NA,NA,NA,50,70,90,2040,0,2,5,2024,10,3e+07,1e+09,5e+09,NA,NA,NA,5,30,2,3,0,1,1,10,80,2,2,2,2,2,"","","42"
"True","PonW3lOpcCy",0,0,1,20,22,40,40,90,90,NA,0,0,0,20,0,NA,NA,NA,1e+08,5e+08,1e+09,0,0,1,1,0,0,0,0,0,1,1,0,0,98,"","Nothing will happen","2"
"True","PaSR5AiUZfQ",1,4,8,6,15,35,55,75,90,2100,6,15,45,2050,NA,4300000,3900000,3200000,NA,NA,NA,25,20,15,5,15,15,5,25,20,15,5,15,5,5,"","","{Invalid Expression}"
"True","PO5lOrHU9mM",0,0,2,2,3,5,72,84,97,2065,0,0,0,NA,50,NA,NA,NA,5.2e+07,6e+07,9.5e+07,85,5,0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,"N/A","","100"
"True","PnZxB8WH0SC",0,0,0,0,1,3,59,73,88,2099,0,0,1,2090,NA,3.5e+07,4e+07,1e+08,NA,NA,NA,1e-10,1e-09,1e-04,1e-04,1e-21,1,1e-11,14,14,32,32,1,2,5,"","","1.000200001110000000001"
"True","PMNB4FmJgGC",0,0,0,3,4,6,60,72,88,1e+210,0,0,0,1e+210,NA,1e+07,2e+11,2.5e+11,NA,NA,NA,10,70,5,10,2,3,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P6mt41LgKCq",0,0,2,7,9,11,75,80,90,2050,0,0,0,NA,50,NA,NA,NA,7.5e+07,1e+08,1.5e+08,3,2,3,4,2,3,3,20,10,10,30,5,5,20,"","","20"
"True","PY6OZhyI1uF",4000,7000,10000,50,60,80,50,60,70,2034,3000,6000,8000,NA,60,NA,NA,NA,5e+06,7e+06,1e+07,50,56,60,69,70,72,70,20,10,20,5,5,25,15,"","","447"
"True","PMaQQX8GD9q",0,0,2,10,11,12,NA,NA,NA,2300,0,0,0,2080,10,1.5e+07,2e+11,3e+11,NA,NA,NA,1,1,4,3,0,0,0,10,10,40,30,5,5,0,"n/a","n/a","9"
"True","PRlEc5osllQ",0.05,0.3,0.8,6,8,12,NA,NA,NA,2200,0.08,0.1,0.3,2180,45,NA,NA,NA,5e+07,6.5e+07,8e+07,10,2,28,30,2,8,20,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PCxTZNHBFsx",0.01,0.02,0.05,20,16,15,40,50,70,2060,0,0,1,NA,45,9.99e+08,1e+10,6e+10,NA,NA,NA,20,80,5,30,0.01,0.01,0.01,7,80,1,10,1,1,0,"","","135.03"
"True","PreIldCq881",2,5,10,17,19,25,71.2,73.9,78.1,2058,0,0,1,2038,NA,5e+07,1e+08,3e+11,NA,NA,NA,15,35,17,12,1,20,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PcyS1uH6T3M",0,0,0,5,5,2,30,60,95,NA,0,0,1,2100,50,NA,NA,NA,5e+07,7.5e+07,1.5e+08,10,15,15,15,5,10,30,NA,NA,NA,NA,NA,NA,NA,"Natural disasters","","100"
"True","PdyDDKFNjSw",0.05,0.1,0.2,1,3,5,60,75,88,2030,NA,NA,NA,2050,48,NA,NA,NA,1.5e+11,2e+11,2.5e+11,20,10,3,20,0.5,0.5,0,30,20,10,30,0.5,0.5,0,"n/a","n/a","54"
"True","PAjCm42lW9X",0,0,1,5,7,9,75,100,100,2075,NA,NA,NA,2050,51,NA,NA,NA,53,75,150,1,5,1,10,5,5,1,10,35,4,6,5,35,5,"","","28"
"True","PSzNbO4h3yE",0,2,5,9,11,15,57,67,88,2100,0,3,5,NA,48,5.6e+07,1e+08,5e+08,NA,NA,NA,40,10,30,15,0,5,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PzzQCluHShQ",0,0,0,5,5,7,50,52,55,2100,0,1,1,NA,95,NA,NA,NA,6e+07,1.5e+08,3e+08,1e-07,1e-07,1e-07,1e-07,1e-09,1e-07,0,1e-07,1e-07,1e-07,1e-07,1e-09,1e-07,99.00009,"","","5.01e-7"
"True","P4ToEBMNbpT",0,0,0,NA,NA,NA,35,75,95,1e+210,0,0,0,1e+210,25,1e+08,2e+10,1e+11,NA,NA,NA,5,1,5,50,0,0,39,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PpRjHzWG7d0",0,1,2,15,16,19,53,67,74,2080,1,2,5,2100,NA,NA,NA,NA,5400000,9400000,18400000,25,25,2,35,1,3,9,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Pm7aN09ePRI",0,0,0,NA,NA,NA,59,73,91,2055,0,0,0,2070,53,1.2e+07,2.4e+07,2e+07,NA,NA,NA,10,30,6,53,1,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PRFWyTfX6rA",0,1,2,NA,NA,NA,75,80,95,2500,0,0,1,2080,55,5e+06,5500000,4e+05,NA,NA,NA,30,20,10,30,5,5,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PGzpaFdmFrn",0,1,3,3,6,8,50,70,90,3244,1,4,12,NA,25,6e+06,3e+07,7e+07,NA,NA,NA,40,10,5,40,2,3,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PO7X31WX2UA",0,1,3,NA,NA,NA,34,60,90,2060,0,0,1,2035,48,4e+06,2500000,1200000,NA,NA,NA,10,20,5,40,15,5,10,10,20,5,40,10,5,10,"asteroid","asteroid","105"
"True","PsdrRhvb1Du",1,3,5,5,15,20,NA,NA,NA,2050,0,1,3,2033,50,1.5e+10,2.5e+10,1e+10,NA,NA,NA,40,60,20,50,0,25,10,40,60,20,50,0,20,10,"","","205"
"True","PUOzUAUoIrD",1,1,2,193,197,205,30,65,85,2050,0,0,3,2050,NA,NA,NA,NA,5e+07,7.5e+07,2.5e+08,20,15,50,5,0,2,0,20,15,50,10,0,5,0,"","","92"
"True","P2Jo6mkheCC",NA,NA,NA,9,15,25,30,55,90,2050,0,0,1,2090,50,5e+07,7e+07,8e+07,NA,NA,NA,5,10,5,20,2,58,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PyOIqz81T4h",0.2,0.3,0.7,17,20,25,78.4,82.8,96.8,2034,1,1,2,NA,50,NA,NA,NA,5.4e+11,6e+11,1e+12,20,10,15,5,1,0,0,35,20,15,10,10,5,5,"","","51"
"True","PmuAYNBTtsB",0,1,2,10,14,20,60,75,90,NA,0,1,3,1990,40,NA,NA,NA,6e+07,7.5e+07,1e+08,50,30,30,50,20,10,0,30,20,10,20,10,10,0,"","","190"
"True","PPOlG9fxwDP",0,0,0,4,6,9,62,70,86,NA,0,0,0,2100,45,2e+11,3e+11,9e+11,NA,NA,NA,25,45,10,20,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PnCe91O6KKD",0,0,1,NA,NA,NA,50,60,80,2050,0,1,2,2070,10,NA,NA,NA,40,30,25,40,70,20,7,1,5,0,30,40,20,5,0,5,0,"","","143"
"True","PwTtMCm7vCB",0.05,0.07,1,6,7,9,85,93,98,NA,0,0,0,2040,5,3e+06,1.5e+07,2.5e+07,NA,NA,NA,3,3,2,2,0,5,85,NA,NA,NA,NA,NA,NA,NA,"Human greed and stupidity","","100"
"True","PnQpTAOadM4",0,1,3,NA,NA,NA,60,65,70,2025,0,0,1,2045,45,NA,NA,NA,1e+08,1e+09,1e+10,1,5,1,10,0,5,0,1,5,1,10,0,5,0,"None","None","{Invalid Expression}"
"True","PhRBubtEZI5",NA,NA,NA,1,1,2,60,72,88,2078,0,0,1,2070,50,1.5e+11,2e+11,4e+11,NA,NA,NA,15,20,3,30,1,31,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PASV25QLT4f",0,0,0,3,4,5,63,77,88,2055,NA,NA,NA,2034,48,5e+06,1e+07,2e+07,NA,NA,NA,1,5,1,1,0,92,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PD7RgfjyyI6",0,0,0,12,12,14,78,83,85.5,NA,0,0,0,2045,2,NA,NA,NA,1e+08,9.5e+08,6e+09,5,10,20,50,5,10,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PSQ0iHOQh3f",0,0,1,5,7,10,77,91,95,NA,0,0,1,2042,2,4900000,7e+06,4500000,NA,NA,NA,0.01,0.01,0.2,2,0.1,15,25,4,2,2,10,2,30,50,"Climate change","Climate change","42.32"
"True","PJeAERAbOPF",0,0,1,9,8,8,71,73,81,2105,0,0,0,NA,3,NA,NA,NA,4.5e+07,5.2e+07,6.5e+07,15,15,40,20,3,7,0,15,15,40,20,3,7,0,"N/A","N/A","{Invalid Expression}"
"True","PkvFNcYsGZd",2,5,10,2,3,4,65,76,88,2035,0,0,1,NA,3,NA,NA,NA,1e+09,5e+09,2e+10,2,12,5,70,0,5,0,2,12,5,76,0,5,0,"","","94"
"True","PCq1b7N7SoY",0.1,1,2,10,20,30,NA,NA,NA,2075,2,5,7,2080,30,45,100,200,NA,NA,NA,1,2,2,2,0.5,0.05,0.05,15,30,30,20,5,5,5,"","","7.6"
"True","PfMktC80jHN",0,1,2,2,5,12,55,70,90,2034,0,1,4,2030,NA,5e+07,2.4e+08,3.2e+08,NA,NA,NA,10,40,10,20,0,20,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PigRGwrg4dh",0.2,0.2,0.3,5,6,9,NA,NA,NA,2026,3,3,4,NA,0.5,2e+07,3.5e+07,5e+07,NA,NA,NA,30,27,1,40,1,1,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PCP7NaBnElC",0.1,1.6,5.7,0,0,3,NA,NA,NA,2075,0.3,1.6,3.5,2150,30,NA,NA,NA,70,150,500,8,75,1,65,0.3,1,5,4,65,1,28,0,1,1,"","","155.3"
"True","P8NFjUiCaGn",NA,NA,NA,6,7,15,75,89,93,2034,0,0,1,1e+210,40,NA,NA,NA,6.5e+07,1e+08,1e+09,15,15,2,15,1,2,50,NA,NA,NA,NA,NA,NA,NA,"Sun renders the planet unliveable","","100"
"True","P0tPTP4x00v",0,1,2,5,8,18,50,65,89,2086,NA,NA,NA,2156,3,4.5e+07,1.2e+08,3.9e+08,NA,NA,NA,34,29,21,10,1,5,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PApvQr6bJw9",0,1,2,0,1,2,29,31,40,NA,0,1,2,2050,0.05,5e+06,4e+06,2e+06,NA,NA,NA,30,5,5,60,0,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P2IFeZZ1U2L",0,0,1,NA,NA,NA,60,70,88,2040,0,0,0,2040,46,2e+25,3e+27,2e+30,NA,NA,NA,9.99,20,0.009,0.001,0,0,70,NA,NA,NA,NA,NA,NA,NA,"climate change","","100"
"True","PcDodlXisuH",0,0.2,0.8,NA,NA,NA,73.5,79,88.5,2080,0,0,1,2050,0,4e+06,3500000,2e+06,NA,NA,NA,8,25,1,5,0,2,59,NA,NA,NA,NA,NA,NA,NA,"overpopulation + declining resources","","100"
"True","PXctH55oDPm",0,0,0,5,5,5,89.8,89.8,89.8,2021,NA,NA,NA,2100,50,NA,NA,NA,2e+10,2e+10,2e+10,0,0,0,0,0,0,0,10,10,10,20,0,20,30,"","","0"
"True","PoXfHuaqm90",0,0,0.1,10,12,18,62,70,88,1e+210,0,0,0.1,NA,1,NA,NA,NA,1e+08,1e+09,1e+10,20,10,10,50,1,9,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PzyuMiWY4Jq",0,0,0,3,4,3,50,60,70,NA,0,1,2,2070,20,2e+10,2e+11,3e+11,NA,NA,NA,3,1,1,10,2,13,70,NA,NA,NA,NA,NA,NA,NA,"Climate Change","","100"
"True","PHxVhbKhqvm",0,0,0,6,6,10,45,67,88,2100,0,0,0,2040,NA,3.5e+07,3.5e+08,5e+09,NA,NA,NA,2,1,0.5,1,0.01,6,0,3,5,2,1,1,88,0,"","","10.51"
"True","PrW9ghLEuh5",0,1,2,6,8,9,79.8,88.1,95,NA,0,0,0,2044,40,5200000,16700000,4.1e+07,NA,NA,NA,5,20,25,35,1,14,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P28ZyiuuoY7",0,0,0,NA,NA,NA,55,75,92,2060,0,0,0,2150,1,4e+23,5e+23,1e+24,NA,NA,NA,2,1,1,1,0,3,20,2,1,1,1,0,3,92,"Climate Change","Climate Change","28"
"True","P47C0i6e3QU",6,4,2,6,7,10,29,32,38,2040,4,6,9,2027,NA,NA,NA,NA,1e+07,2e+07,3e+07,20,30,5,40,5,5,0,20,30,5,40,5,5,0,"","","105"
"True","Pl3htoWWyJN",3,5,6,NA,NA,NA,45,55,65,37,0.01,0.001,1e-04,40,40,NA,NA,NA,5600000,4500000,3900000,10,20,10,10,5,5,5,10,30,10,15,10,15,10,"","","65"
"True","PiouKOyTKKH",0,0,1,5,10,15,NA,NA,NA,2050,0,0,0,2080,45,NA,NA,NA,7.5e+07,2.5e+08,2e+09,9,10,60,20,1,0,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PNS85pQ4X2C",0,0,0,10,15,30,50,75,90,2100,NA,NA,NA,2100,50,5e+10,5e+11,5e+12,NA,NA,NA,10,10,40,20,5,15,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PzO59nrjL0b",NA,NA,NA,6,8,20,63,80,98,2050,0,0,0,2100,0.001,8e+06,1.5e+07,1e+08,NA,NA,NA,5,15,5,5,5,65,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PMwPHSHdDSj",0,0,1,2,2,4,40,60,70,2150,0,0,0,2090,NA,NA,NA,NA,6e+07,7e+07,1e+08,5,50,5,5,0,35,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","P6QlZ1K0b7e",0,1,1,7,8,9,55,66,85,3000,0,0,0,NA,20,NA,NA,NA,60,70,100,5,30,5,20,0,10,30,NA,NA,NA,NA,NA,NA,NA,"Global warming or disaster","","100"
"True","PHbsqHkEIIT",1,2,7,10,15,25,85.2,84,85,NA,10,10,9,50,50,NA,NA,NA,70,110,250,5,10,5,7,0,0,0,1,40,20,33,0,0,0,"","","27"
"True","P1wFpNtd2i4",80,85,98,1,2,4,79,85,93,2124,0,2,5,NA,0,1e+08,5e+08,1e+10,NA,NA,NA,30,10,10,30,10,10,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PuZdVVBv8tc",NA,NA,NA,16,16,16,60,73,88,2030,0,0.5,2,2060,2,4e+06,1e+07,4e+07,NA,NA,NA,1,1,2,99,1,0,99,5,5,5,40,5,0,40,"Climate Change","Climate Change","203"
"True","PdkOb7jHb7l",0,1e-05,0.01,10,15,20,59,72,88,1e+210,0,0,1,1e+210,50,NA,NA,NA,6e+07,1e+09,5e+09,25,35,15,20,1,4,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","POQv4APL71w",2,5,10,5,7,10,69.5,75,80,2024,5,10,15,2024,20,NA,NA,NA,6e+07,1e+08,1100000,50,70,15,25,1,0.5,1e-07,25,50,12,9,2.49,0.5,1e-07,"Asteroid","Asteroid","161.5000001"
"True","Pvebd7L4Vk2",0,0,0,3,4,2,71,75,80,1e+210,0,0,0,NA,66.6,NA,NA,NA,1.2e+07,3e+07,7.5e+07,0,0,48,48,0,1,1,0,0,49,49,0,1,1,"Asteroid impact ","Asteroid impact ","98"
"True","Pf1gY1yTK52",0,1,2,6,5,7,62,75,80,2050,0,1,2,2060,5,3e+10,5e+10,3e+11,NA,NA,NA,15,15,25,20,15,10,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PiBELvmz2z3",0,0,0,24,50,100,60,70,80,1e+210,0,0,0,3000,50,5e+06,2e+10,4e+10,NA,NA,NA,10,5,5,70,0,15,0,10,5,5,65,0,15,0,"","","105"
"True","PBP0jyZl8dL",0,1,2,18,25,30,70,75,85,2030,0,1,1,2050,1,5e+06,4e+06,3e+06,NA,NA,NA,0.1,0.01,0.001,0.1,0.001,0.01,0.01,30,10,10,25,10,10,5,"","","0.232"
"True","PPLUtBt5R4w",0.05,1,2,16,18,22,55,70,88,2075,0,0,0,2070,25,NA,NA,NA,7e+07,2e+08,1e+09,0.05,1,1.5,20,1,5,25,0.05,2,1.5,20,1,5,70.45,"Climate change","Climate change","53.55"
"True","PWGEhbgMVb3",0,0,0,0,0,1,55,60,63,2300,0,0,0,2040,0,NA,NA,NA,1e+07,2e+07,2e+07,0,0,0,1,0,0,0,0,0,0,100,0,0,0,"","","1"
"True","PVrQfLnJ7cX",0,0,0,10,12,10,60,80,85,2050,0,0,1,2050,25,5e+06,1.2e+07,1.5e+07,NA,NA,NA,20,15,5,49,1,10,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PSWiESo9It7",0,1,3,8,10,14,65,70,75,2060,0,0,0.001,2100,80,1e+10,1.5e+10,2.5e+10,NA,NA,NA,1e-11,1e-10,1e-12,1e-11,1e-20,1e-11,1e-08,15,25,5,5,1,15,29,"volcanic activity","volcanic activity","1.013100000001e-8"
"True","Pov1ebYBMOU",0,0,1,0,2,5,60,90,95,1e+210,0,0,1,1e+210,35,NA,NA,NA,7e+07,1.1e+08,1.5e+08,12,8,60,16,2,2,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PsTsoek6PUT",34,45,76,34,67,78,34,56,67,NA,34,45,67,NA,NA,NA,NA,NA,34,56,67,35,56,67,78,78,78,78,35,56,67,78,78,78,78,"","34","470"
"True","PUwWxFhNVcy",0,0,0,0,0,1,70,80,90,2025,0,1,2,2024,50,5e+06,4e+06,4e+06,NA,NA,NA,20,1,60,25,0,0,33,20,3,31,15,0,0,31,"Pandemics","Pandemics","139"
"True","Pce0g3WPqHT",0.01,0.1,0.35,2,2,3,60,70,88,2050,0,0,1,2050,NA,NA,NA,NA,1e+09,2e+10,4e+11,20,30,10,20,10,10,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PJtE6mcNxCj",NA,NA,NA,193,193,193,40,72,81,2027,0,0,1,2025,25,NA,NA,NA,7e+07,1e+08,NA,10,40,NA,75,NA,25,NA,10,20,NA,50,NA,20,NA,"Such as","Such as","{Invalid Expression}"
"True","PIb99H4Rv4g",0,0,1,10,12,12,63,70,88,2030,5,7,8,2040,48,NA,NA,NA,6e+07,7e+07,9e+07,30,30,7,30,0,3,0,NA,NA,NA,NA,NA,NA,NA,"N/A","","100"
"True","PMKzBhSlDS4",0.1,0.1,0.1,7,7,7,60,70,88,2200,0.1,0.1,0.1,2060,75,1e+11,2e+11,4e+11,NA,NA,NA,1,1,1,5,1,91,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PqWcCYYQr3B",0,0,1,16,15,14,31,39,47,2040,0,1,2,30,40,NA,NA,NA,4500000,4200000,5e+06,2,5,1,1,0,0,0,20,50,10,10,1,4,0,"","","9"
"True","P1RIEw9ISzZ",0,0,1,200,250,400,70,80,85,2050,0,1,2,2075,60,NA,NA,NA,75,125,200,3,4,1,23,0.01,60,0,3,4,1,27.99,0.01,60,0,"none","none","91.01"
"True","PigYLRnvHTn",0,1,2,5,9,15,24,28,30,2050,0,1,2,2050,45,NA,NA,NA,50,70,90,5,10,2,25,0,10,15,13,13,2,29,1,18,25,"","","67"
"True","PnEgBM0rrux",0,0,1,8,9,12,89,98,100,1e+210,0,0,0,1e+210,10,NA,NA,NA,1e+08,1e+09,2e+10,1,15,2,50,0,10,22,NA,NA,NA,NA,NA,NA,NA,"Environmental destruction","","100"
"True","PmE2U3HDzSV",5,30,80,10,5,0,75,82.5,90,2025,45,60,80,NA,1,2e+07,3.5e+07,5e+07,NA,NA,NA,10,20,5,50,0,0,0,15,20,5,50,5,5,0,"","","{Invalid Expression}"
"True","PxWreTN2NuJ",67,80,100,20,30,45,60,70,88,2021,11,15,30,2026,100,NA,NA,NA,NA,NA,NA,50,30,80,90,10,30,0,20,20,20,30,5,5,0,"0","n/a","{Invalid Expression}"
"True","PTmLNPammOX",0,1,1,5,6,10,28,60,80,2100,0,0,1,2025,50,2e+09,4e+09,5e+09,NA,NA,NA,20,10,15,35,5,10,5,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Pvi6EKz3Bgu",1,1,2,5,5,2,80,85,95,1e+210,0,0,1,1e+210,50,2e+07,1e+08,5e+08,NA,NA,NA,50,50,5,15,1,30,60,25,25,5,15,0,10,30,"climate change","climate change","211"
"True","PshlkpQufxz",0,1,3,15,12,6,63,78,90,2090,0,0,1,2085,15,1e+08,5e+08,8e+09,NA,NA,NA,20,20,5,25,1,30,0,20,20,4,25,1,30,0,"","","101"
"True","PSbj2xBjkMe",0,1,1,15,18,25,75,80,85,1e+210,0,1,1,1e+210,1,NA,NA,NA,1e+09,3e+10,1e+11,0.002,0.002,0.005,0.02,0.002,100,100,0.002,0.002,0.005,0.02,0.002,100,100,"","Solar decay","200.031"
"True","PwrDLt8D876",0,1,2,2,5,10,40,80,90,2045,0,0,1,1e+210,50,NA,NA,NA,1e+08,1e+09,3.5e+09,5,23,1,50,2,20,0,5,23,1,50,2,20,0,"","","{Invalid Expression}"
"True","Pv9OOmCDs8G",0,0,0.01,7,7,6,68,78,90,2060,0,0,0,3000,1,NA,NA,NA,5e+07,5.3e+07,6.5e+07,10,10,2,70,1,7,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PWeAPCbKE0n",0.2,0.5,1,2,4,5,73,85,95,2060,0.1,0.5,0.8,2080,0.1,50,150,500,NA,NA,NA,8,10,15,15,2,50,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Pp5GE31PfhI",10,15,30,15,25,35,20,40,50,2030,6,11,15,2030,30,NA,NA,NA,6e+07,7.5e+07,9e+07,20,20,25,25,5,15,5,20,20,25,25,5,15,5,"","","115"
"True","PHGp4pFds1I",1e-04,0.005,0.1,0.8,1.1,2.5,29,34,42,2068,0,0.05,0.4,2074,15,NA,NA,NA,6e+07,2e+08,1e+09,10,30,23,10,2,25,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PlO2nEzlDFn",0,0,1,12,17,25,60,68,85,2100,0,0,1,2050,1,6e+07,1e+08,2e+08,NA,NA,NA,1,2,3,4,5,6,7,5,10,20,25,5,5,30,"","","28"
"True","Ptv4OvsRrRM",0.05,0.4,1.2,6,6,7,77,85,90,2142,0.005,0.02,0.09,2120,3,NA,NA,NA,2.2e+08,1.5e+09,7e+09,12,14,12,12,0,50,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","Plxv9vFF58c",0,0,0,0,0,0,62,74,86,2024,0,0,0,2063,100,NA,NA,NA,7.5e+07,1e+08,1.25e+08,1,1,1,1,1,1,1,1,1,1,94,1,1,1,"Collision with a black hole","Collision with a black hole","7"
"True","PPCevaWvmv5",0,0,1,12,12,12,60,75,88,2100,0,1,3,2100,50,9e+06,1.5e+08,3e+08,NA,NA,NA,25,0,25,25,0,25,0,NA,NA,NA,NA,NA,NA,NA,"","","100"
"True","PvEVUVXwe8v",0,0,0,0,1,1,68,75,100,2030,0,1,2,2045,40,NA,NA,NA,2e+09,2.5e+10,1e+11,5,99,9,45,3,15,60,5,45,9,25,3,10,3,"The earths core heating up","The earths core heating up","236"
"True","PO1W0Dqi2Nk",0.02,0.1,0.25,0.1,0.2,0.5,76,98,99.98,2999,1e-04,5e-04,0.01,2100,0.01,4e+07,1177600000,4.823e+12,NA,NA,NA,5,10,20,40,1,24,0,5,10,20,40,1,24,0,"","","{Invalid Expression}"
